iteration,num_correct,num_incorrect,percent_accuracy,percent_inaccuracy,cumulative_inaccuracy
0,47,4,92.16,7.84,7.84
1,51,0,100.00,0.00,3.92
2,50,1,98.04,1.96,3.27
3,49,2,96.08,3.92,3.43
4,47,4,92.16,7.84,4.31
5,50,1,98.04,1.96,3.92
6,48,3,94.12,5.88,4.20
7,48,3,94.12,5.88,4.41
8,49,2,96.08,3.92,4.36
9,50,1,98.04,1.96,4.12
10,48,3,94.12,5.88,4.28
11,48,3,94.12,5.88,4.41
12,49,2,96.08,3.92,4.37
13,49,2,96.08,3.92,4.34
14,49,2,96.08,3.92,4.31
15,49,2,96.08,3.92,4.29
16,48,3,94.12,5.88,4.38
17,50,1,98.04,1.96,4.25
18,49,2,96.08,3.92,4.23
19,48,3,94.12,5.88,4.31
20,48,3,94.12,5.88,4.39
21,47,4,92.16,7.84,4.55
22,48,3,94.12,5.88,4.60
23,49,2,96.08,3.92,4.58
24,50,1,98.04,1.96,4.47
25,48,3,94.12,5.88,4.52
26,48,3,94.12,5.88,4.58
27,47,4,92.16,7.84,4.69
28,49,2,96.08,3.92,4.67
29,50,1,98.04,1.96,4.58
30,50,1,98.04,1.96,4.49
31,45,6,88.24,11.76,4.72
32,47,4,92.16,7.84,4.81
33,50,1,98.04,1.96,4.73
34,46,5,90.20,9.80,4.87
35,49,2,96.08,3.92,4.85
36,50,1,98.04,1.96,4.77
37,50,1,98.04,1.96,4.70
38,49,2,96.08,3.92,4.68
39,50,1,98.04,1.96,4.61
40,47,4,92.16,7.84,4.69
41,50,1,98.04,1.96,4.62
42,51,0,100.00,0.00,4.51
43,50,1,98.04,1.96,4.46
44,50,1,98.04,1.96,4.40
45,50,1,98.04,1.96,4.35
46,48,3,94.12,5.88,4.38
47,48,3,94.12,5.88,4.41
48,51,0,100.00,0.00,4.32
49,48,3,94.12,5.88,4.35
50,50,1,98.04,1.96,4.31
51,50,1,98.04,1.96,4.26
52,48,3,94.12,5.88,4.29
53,48,3,94.12,5.88,4.32
54,47,4,92.16,7.84,4.39
55,49,2,96.08,3.92,4.38
56,49,2,96.08,3.92,4.37
57,48,3,94.12,5.88,4.39
58,50,1,98.04,1.96,4.35
59,49,2,96.08,3.92,4.35
60,48,3,94.12,5.88,4.37
61,51,0,100.00,0.00,4.30
62,49,2,96.08,3.92,4.30
63,48,3,94.12,5.88,4.32
64,50,1,98.04,1.96,4.28
65,50,1,98.04,1.96,4.25
66,49,2,96.08,3.92,4.24
67,50,1,98.04,1.96,4.21
68,50,1,98.04,1.96,4.18
69,47,4,92.16,7.84,4.23
70,49,2,96.08,3.92,4.23
71,47,4,92.16,7.84,4.28
72,45,6,88.24,11.76,4.38
73,47,4,92.16,7.84,4.43
74,49,2,96.08,3.92,4.42
75,48,3,94.12,5.88,4.44
76,49,2,96.08,3.92,4.43
77,50,1,98.04,1.96,4.40
78,49,2,96.08,3.92,4.39
79,47,4,92.16,7.84,4.44
80,47,4,92.16,7.84,4.48
81,47,4,92.16,7.84,4.52
82,48,3,94.12,5.88,4.54
83,48,3,94.12,5.88,4.55
84,45,6,88.24,11.76,4.64
85,50,1,98.04,1.96,4.61
86,50,1,98.04,1.96,4.58
87,46,5,90.20,9.80,4.63
88,50,1,98.04,1.96,4.60
89,48,3,94.12,5.88,4.62
90,50,1,98.04,1.96,4.59
91,47,4,92.16,7.84,4.62
92,51,0,100.00,0.00,4.58
93,49,2,96.08,3.92,4.57
94,48,3,94.12,5.88,4.58
95,49,2,96.08,3.92,4.58
96,50,1,98.04,1.96,4.55
97,49,2,96.08,3.92,4.54
98,48,3,94.12,5.88,4.56
99,49,2,96.08,3.92,4.55
